method,split,accuracy,min_sim,regionality,alpha,useTermsSimilarity,N
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.47167868177136973,0.0,1.0,0.0,True,4
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.44734625105307496,0.0,1.0,0.0,True,5
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.4142547033285094,0.0,1.0,0.0,True,6
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.39367537915456596,0.0,1.0,0.0,True,7
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.3815828184760224,0.0,1.0,0.0,True,8
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.36963064295485637,0.0,1.0,0.0,True,9
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.3618727366787377,0.0,1.0,0.0,True,10
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.68,0.0,1.0,0.0,True,1
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.6379137412236711,0.0,1.0,0.0,True,2
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.5413028878441908,0.0,1.0,0.0,True,3
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.49949135300101727,0.0,1.0,0.0,True,4
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.4703688354745131,0.0,1.0,0.0,True,5
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.43617021276595747,0.0,1.0,0.0,True,6
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.4125631313131313,0.0,1.0,0.0,True,7
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.398094688221709,0.0,1.0,0.0,True,8
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.39223091448610736,0.0,1.0,0.0,True,9
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.3853234466888264,0.0,1.0,0.0,True,10
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.898,0.0,8.0,0.0,True,1
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.8442211055276382,0.0,8.0,0.0,True,2
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.7776280323450134,0.0,8.0,0.0,True,3
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.7205731832139202,0.0,8.0,0.0,True,4
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.681704260651629,0.0,8.0,0.0,True,5
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.6474381941956288,0.0,8.0,0.0,True,6
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.6233641876795404,0.0,8.0,0.0,True,7
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.6009321293329449,0.0,8.0,0.0,True,8
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.5818181818181818,0.0,8.0,0.0,True,9
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.5685670261941448,0.0,8.0,0.0,True,10
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.884,0.0,8.0,0.0,True,1
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.8226452905811623,0.0,8.0,0.0,True,2
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.7647849462365591,0.0,8.0,0.0,True,3
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.7084607543323139,0.0,8.0,0.0,True,4
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.6673614005835765,0.0,8.0,0.0,True,5
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.6363636363636364,0.0,8.0,0.0,True,6
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.6128722382324687,0.0,8.0,0.0,True,7
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.5996488147497805,0.0,8.0,0.0,True,8
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.5831055221432476,0.0,8.0,0.0,True,9
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.5716873706004141,0.0,8.0,0.0,True,10
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.898,0.0,8.0,0.0,True,1
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.829979879275654,0.0,8.0,0.0,True,2
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.7711006076975017,0.0,8.0,0.0,True,3
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.7113507960965588,0.0,8.0,0.0,True,4
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.6762105263157895,0.0,8.0,0.0,True,5
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.6417208966015907,0.0,8.0,0.0,True,6
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.6200901481004507,0.0,8.0,0.0,True,7
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.6025338833235121,0.0,8.0,0.0,True,8
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.5854865310610226,0.0,8.0,0.0,True,9
"CLIP,ms=0.0,r=8,al=0.0,ts=True",2,0.5765531583051728,0.0,8.0,0.0,True,10
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.88,0.0,8.0,0.0,True,1
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.806841046277666,0.0,8.0,0.0,True,2
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.7452702702702703,0.0,8.0,0.0,True,3
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.6946446961894953,0.0,8.0,0.0,True,4
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.6592249368155013,0.0,8.0,0.0,True,5
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.6356729377713459,0.0,8.0,0.0,True,6
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.6137463697967086,0.0,8.0,0.0,True,7
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.5898793762871433,0.0,8.0,0.0,True,8
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.573187414500684,0.0,8.0,0.0,True,9
"CLIP,ms=0.0,r=8,al=0.0,ts=True",3,0.5602690118986032,0.0,8.0,0.0,True,10
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.886,0.0,8.0,0.0,True,1
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.8365095285857572,0.0,8.0,0.0,True,2
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.7756883814640698,0.0,8.0,0.0,True,3
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.7207527975584944,0.0,8.0,0.0,True,4
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.6879403232490675,0.0,8.0,0.0,True,5
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.6531914893617021,0.0,8.0,0.0,True,6
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.6294191919191919,0.0,8.0,0.0,True,7
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.6172055427251733,0.0,8.0,0.0,True,8
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.6012948475856488,0.0,8.0,0.0,True,9
"CLIP,ms=0.0,r=8,al=0.0,ts=True",4,0.5891076451035541,0.0,8.0,0.0,True,10
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.926,0.0,16.0,0.0,True,1
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.8864321608040201,0.0,16.0,0.0,True,2
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.828167115902965,0.0,16.0,0.0,True,3
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.7809621289662231,0.0,16.0,0.0,True,4
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.733500417710944,0.0,16.0,0.0,True,5
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.6993908993192404,0.0,16.0,0.0,True,6
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.6731567187998724,0.0,16.0,0.0,True,7
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.6533644043110982,0.0,16.0,0.0,True,8
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.6344640434192673,0.0,16.0,0.0,True,9
"CLIP,ms=0.0,r=16,al=0.0,ts=True",0,0.6212121212121212,0.0,16.0,0.0,True,10
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.91,0.0,16.0,0.0,True,1
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.8547094188376754,0.0,16.0,0.0,True,2
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.8125,0.0,16.0,0.0,True,3
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.7691131498470948,0.0,16.0,0.0,True,4
